Product_Id,Product_Name,Country_Name,Max_Quantity,Price
1,Apple,Curacao,100,500
2,Mango,Equatorial Guinea,100,100
3,Orange,Bangladesh,100,200
4,Banana,Bolivia,100,400
5,Watermelon,Burkina Faso,100,350
6,tomatoe,Brazil,100,250
7,potato,Curacao,100,540
8,Onion,Antarctica,100,233
9,Cucumber,Egypt,100,34
10,Tea,Aruba,100,120
11,Milk,Burkina Faso,100,111
12,Soda,Bonaire,100,433
13,Coffee,Croatia,100,54
14,Wine,Antarctica,100,234
15,Potato chips,Barbados,100,452
16,Popcorn,Brazil,100,563
17,Banana chips,Barbados,100,56
18,Cheese,Ivory Coast,100,223
19,Ice cream,Equatorial Guinea,100,100
20,Carrot,Western Sahara,100,100
